EVTDESC_INF.2A;The Inner Court has been completely subdued by the bureaucracy. The Emperor, Empress, and Eunuch factions are all politically weak right now. Is this an opportunity, or a disaster?;;;;;;;;;;;;;x;
EVTDESC_INF.2B;Though no faction holds dominance within the Inner Court, the Eunuchs appear to be the only politically solvent faction at the moment.;;;;;;;;;;;;;x;
EVTDESC_INF.2C;The Eunuchs have achieved a monopoly on power within the Inner Court.;;;;;;;;;;;;;x;
EVTDESC_INF.2D;Though no faction holds dominance within the Inner Court, the Empress appears to be the only politically solvent faction at the moment.;;;;;;;;;;;;;x;
EVTDESC_INF.2E;The Emperor appears to be politically weaker than the Empress and Eunuchs.;;;;;;;;;;;;;x;
EVTDESC_INF.2F;The Eunuchs command the most influence within the Inner Court, but the Empress is still politically solvent. The Emperor is politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2G;The Empress has achieved a monopoly on power within the Inner Court.;;;;;;;;;;;;;x;
EVTDESC_INF.2H;The Empress commands the most influence within the Inner Court, but the Eunuchs are still politically solvent. The Emperor is politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2I;The Empress and Eunuchs hold sway over the Inner Court. The Emperor is politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2J;Though no faction holds dominance within the Inner Court, the Emperor appears to be the only politically solvent faction at the moment.;;;;;;;;;;;;;x;
EVTDESC_INF.2K;The Empress appears to be politically weaker than the Emperor and Eunuchs.;;;;;;;;;;;;;x;
EVTDESC_INF.2L;The Eunuchs command the most influence within the Inner Court, but the Emperor is still politically solvent. The Empress is politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2M;The Eunuchs appear to be politically weaker than the Emperor and Empress.;;;;;;;;;;;;;x;
EVTDESC_INF.2N;The balance of power within the Inner Court is currently stable. No one faction holds any more or less influence than the others.;;;;;;;;;;;;;x;
EVTDESC_INF.2O;The Eunuchs command the most influence within the Inner Court, but the Emperor and Empress are still politically solvent.;;;;;;;;;;;;;x;
EVTDESC_INF.2P;The Empress commands the most influence within the Inner Court, but the Emperor is still politically solvent. The Eunuchs are politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2Q;The Empress commands the most influence within the Inner Court, but the Emperor and Eunuchs are still politically solvent.;;;;;;;;;;;;;x;
EVTDESC_INF.2R;The Empress and Eunuchs hold sway over the Inner Court. The Emperor is still politically solvent.;;;;;;;;;;;;;x;
EVTDESC_INF.2S;The Emperor has achieved a monopoly on power within the Inner Court.;;;;;;;;;;;;;x;
EVTDESC_INF.2T;The Emperor commands the most influence within the Inner Court, but the Eunuchs are still politically solvent. The Empress is politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2U;The Emperor and Eunuchs hold sway over the Inner Court. The Empress is politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2V;The Emperor commands the most influence within the Inner Court, but the Empress is still politically solvent. The Eunuchs are politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2W;The Emperor command the most influence within the Inner Court, but the Empress and Eunuchs are still politically solvent.;;;;;;;;;;;;;x;
EVTDESC_INF.2X;The Emperor and Eunuchs hold sway over the Inner Court. The Empress is still politically solvent.;;;;;;;;;;;;;x;
EVTDESC_INF.2Y;The Emperor and Empress hold sway over the Inner Court. The Eunuchs are politically useless.;;;;;;;;;;;;;x;
EVTDESC_INF.2Z;The Emperor and Empress hold sway over the Inner Court. The Eunuchs are still politically solvent.;;;;;;;;;;;;;x;
EVTDESC_INF.2AA;The balance of power within the Inner Court is currently tenuous. Each faction is politically powerful, a potential powderkeg waiting to happen.;;;;;;;;;;;;;x;
EVTTITLE_INF.2;Imperial Influence Report;;;;;;;;;;;;;x;
EVTDESC_INF.3;Your attempt at altering a faction's influence has succeeded.;;;;;;;;;;;;;x;
EVTTITLE_INF.3;Successful Political Maneuver;;;;;;;;;;;;;x;
EVTDESC_INF.4;Your attempt at altering a faction's influence has failed.;;;;;;;;;;;;;x;
EVTTITLE_INF.4;Failed Political Maneuver;;;;;;;;;;;;;x;
EVTDESC_INF.5;The Imperial Court has fabricated a claim upon your territory! You must hurry and defend yourself before all is lost.;;;;;;;;;;;;;x;
EVTTITLE_INF.5;Impending Attack;;;;;;;;;;;;;x;
EVTDESC_INF.6;The Eunuch faction has uncovered secrets that have increased their leverage within the court and palace.;;;;;;;;;;;;;x;
EVTTITLE_INF.6;Eunuchs Gain Influence;;;;;;;;;;;;;x;
EVTDESC_INF.7;An incident at court has implicated the eunuchs and lowered their standing.;;;;;;;;;;;;;x;
EVTTITLE_INF.7;Eunuchs Lose Influence;;;;;;;;;;;;;x;
EVTDESC_INF.8;The Empress has managed to benefit politically from her connections within the court and palace.;;;;;;;;;;;;;x;
EVTTITLE_INF.8;Empress Gains Influence;;;;;;;;;;;;;x;
EVTDESC_INF.9;Infighting between the ladies of the court has lowered the Empress's standing.;;;;;;;;;;;;;x;
EVTTITLE_INF.9;Empress Loses Influence;;;;;;;;;;;;;x;
EVTDESC_INF.10;The Emperor has demonstrated his prowess and skill, bringing honor and glory unto himself.;;;;;;;;;;;;;x;
EVTTITLE_INF.10;Emperor Gains Influence;;;;;;;;;;;;;x;
EVTDESC_INF.11;Rumors about the Emperor have impacted the Emperor's Imperial standing.;;;;;;;;;;;;;x;
EVTTITLE_INF.11;Emperor Loses Influence;;;;;;;;;;;;;x;